name,avg,x,y
怀柔,40.51778020210224,116.689259,40.467871
冯村,51.158215262433174,116.11844,39.915779
上岸地铁,73.55505810473711,116.129168,39.911006
亦庄开发区其它,69.79128039665284,116.502328,39.806318
门头沟其它,40.56297132671529,116.05884,39.934717
通州其它,63.798621431811235,116.668168,39.925404
玉桥,52.1229646045888,116.688606,39.899476
小红门,72.38163127748332,116.46556,39.838847
朝阳其它,73.2251826064344,116.387399,39.983586
燕莎,135.2481588632819,116.469751,39.954562
西坝河,114.07305567384822,116.4454,39.973857
亚运村,117.68834040029644,116.409146,39.994686
亚运村小营,115.66969325933873,116.433326,40.001379
前门,133.33236104328876,116.404589,39.905524
左安门,104.74024277181654,116.44566,39.873491
天坛,106.78322491458195,116.419342,39.888663
玉泉路,95.9136158600515,116.259526,39.925799
亦庄,86.7860265827825,116.511748,39.801839
马驹桥,52.333967347142064,116.565089,39.751867
石门营,56.37400430867331,116.11632,39.898893
怀柔其它,47.30474027632005,116.645511,40.280286
金宝街,139.57724005212577,116.44086,39.921923
东花市,121.85501784310806,116.440091,39.904881
东单,151.39636160585204,116.424548,39.916381
东四,151.48858097731969,116.430431,39.937572
交道口,165.60252545864375,116.415012,39.946292
灯市口,153.7640792723452,116.421207,39.924417
崇文门,132.04127134063984,116.433427,39.902006
三里屯,136.6107210522045,116.460989,39.940764
望京,114.39379209473535,116.475304,40.004532
团结湖,121.51098639383244,116.474108,39.935482
双桥,74.46847435897335,116.589969,39.915435
甜水园,116.71414037263038,116.485235,39.934761
四惠,108.90563635168253,116.505153,39.913177
太阳宫,143.40252986217925,116.452932,39.978249
朝阳门内,142.2185577545501,116.424207,39.930493
建国门内,140.8876813111464,116.446616,39.914605
石佛营,109.99585437105384,116.510432,39.940338
双井,122.53289524384249,116.467343,39.900315
十里堡,98.6698970319746,116.51014,39.926095
劲松,101.65657075539069,116.467785,39.890625
亮马桥,130.85680749228752,116.47367,39.957856
南沙滩,120.55917765937886,116.380193,40.002816
酒仙桥,119.80594712779585,116.50257,39.979887
华威桥,96.67019660546539,116.467894,39.875874
和平里,127.57752110106789,116.42505,39.964752
健翔桥,123.51295996983072,116.389012,39.993699
欢乐谷,90.58956621316521,116.505928,39.872908
惠新西街,118.96650875622981,116.424044,39.983276
红庙,117.22043530390012,116.486445,39.924889
建国门外,127.78958493460468,116.446616,39.914605
农展馆,132.42118300189338,116.470456,39.943808
潘家园,93.06828110662401,116.464954,39.88163
芍药居,110.6548228006456,116.444258,39.988718
三元桥,141.0609707768691,116.463573,39.96688
十八里店,62.81061349048122,116.500704,39.840508
高碑店,88.86734697044066,116.530063,39.915259
大山子,99.31180652225589,116.496125,39.992264
广渠门,111.10009195801182,116.440734,39.899617
工体,139.6876502531135,116.450841,39.935106
定福庄,85.01479917820915,116.28281,39.614266
东坝,76.91192086455273,116.580687,39.960096
朝阳公园,130.02291941884812,116.484946,39.939443
CBD,137.47536146682725,116.474932,39.916512
常营,89.93533858191465,116.599639,39.934194
朝阳门外,136.44507177768457,116.467486,39.92527
百子湾,97.55030423748917,116.504162,39.898706
朝青,108.43075203099096,116.574219,39.930669
东直门,132.67889830818635,116.443734,39.946364
垡头,74.98067639581716,116.514677,39.866531
大望路,122.95829550910793,116.483868,39.90011
东大桥,150.7135168182388,116.458432,39.928663
豆各庄,75.60188834389352,116.088092,39.775608
国展,112.69445020483565,116.561721,40.075932
管庄,76.48369029567742,116.602046,39.922428
甘露园,96.34890790608415,116.521617,39.922615
北工大,101.50139368161953,116.484004,39.881028
右安门内,112.30313198430034,116.370281,39.888176
西四,159.74006426572743,116.379668,39.931754
宣武门,157.92846918989605,116.375243,39.901152
