ID,租金,面积,房型,板块,朝向,rent
LF1682362414730838016,1000,55.61,2,三河,南,17.98237727027513
LF1703387547146649600,750,58.0,2,三河,南,12.931034482758621
LF1688508136643624960,900,75.0,2,大厂县城商圈,南 北,12.0
LF1649030898617679872,800,85.0,2,大厂县城商圈,南 北,9.411764705882353
LF1651802224436707328,1100,89.98,2,大厂县城商圈,南 北,12.224938875305623
LF2789159679173853184,500,75.0,2,大厂县城商圈,南 北,6.666666666666667
LF1616724591890137088,600,75.0,2,大厂县城商圈,南 北,8.0
LF1625707375866413056,550,94.0,3,大厂县城商圈,南 北,5.851063829787234
LF1608019399027982336,450,89.33,3,大厂县城商圈,南,5.0375013993059445
LF1664591387837857792,1300,103.0,3,大厂县城商圈,东 西,12.62135922330097
LF1667024656030236672,600,103.0,3,大厂县城商圈,南 北,5.825242718446602
LF1672903773711761408,1000,69.0,2,大厂县城商圈,南,14.492753623188406
LF1679457978542981120,800,102.0,2,大厂县城商圈,南,7.8431372549019605
LF1681168618374561792,1000,84.0,3,大厂县城商圈,南 北,11.904761904761905
LF1662673612684918784,1000,85.0,2,大厂县城商圈,南,11.764705882352942
LF1682243731584974848,800,94.0,3,大厂县城商圈,南 北,8.51063829787234
LF1641271765093056512,1500,118.0,3,大厂县城商圈,南,12.711864406779661
LF1687659844565204992,500,75.0,2,大厂县城商圈,南 北,6.666666666666667
LF1681864512501710848,800,180.0,3,大厂县城商圈,南 北,4.444444444444445
LF1651098956949618688,500,89.32,3,大厂县城商圈,南 北,5.597850425436633
LF1623262917119967232,1000,100.0,3,大厂县城商圈,南 北,10.0
LF1691642219359895552,1000,106.0,2,大厂县城商圈,南 北,9.433962264150944
LF1636273315330916352,1000,89.0,2,大厂县城商圈,南,11.235955056179776
LF2837496020316209152,900,85.07,2,大厂县城商圈,南,10.579522745973904
LF1690213589199093760,700,90.0,3,大厂县城商圈,南 北,7.777777777777778
LF1579740232171913216,1050,87.61,2,大厂县城商圈,南 北,11.984933226800594
LF1661568075658428416,600,49.9,1,大厂县城商圈,南 西,12.024048096192384
LF1651803343481208832,1050,89.98,2,大厂县城商圈,南 北,11.669259835519004
LF1671349695584141312,400,97.0,2,大厂县城商圈,南 北,4.123711340206185
LF1688444136690024448,1000,100.0,2,大厂县城商圈,南 北,10.0
LF2809300305773608960,800,86.0,2,大厂县城商圈,南 北,9.30232558139535
LF1716658029211942912,900,81.0,2,大厂县城商圈,南,11.11111111111111
LF1612753607080280064,1000,89.0,3,大厂县城商圈,南 北,11.235955056179776
LF2800005803011489792,800,124.28,3,大厂县城商圈,南 北,6.43707756678468
LF2826136539019345920,1600,126.0,3,大厂县城商圈,南 北,12.698412698412698
LF1684387833722175488,1200,86.0,2,大厂县城商圈,南 北,13.953488372093023
LF1709923929570672640,1800,80.0,1,大厂县城商圈,东,22.5
LF1666054983205781504,850,58.0,1,大厂县城商圈,南,14.655172413793103
LF1678689317079220224,1800,129.86,3,大厂县城商圈,南 北,13.861081164330816
