ID,租金,面积,房型,板块,朝向
LF1682362414730838016,1000,55.61,2,三河,南
LF1703387547146649600,750,58.0,2,三河,南
LF1688508136643624960,900,75.0,2,大厂县城商圈,南 北
LF1649030898617679872,800,85.0,2,大厂县城商圈,南 北
LF1651802224436707328,1100,89.98,2,大厂县城商圈,南 北
LF2789159679173853184,500,75.0,2,大厂县城商圈,南 北
LF1616724591890137088,600,75.0,2,大厂县城商圈,南 北
LF1625707375866413056,550,94.0,3,大厂县城商圈,南 北
LF1608019399027982336,450,89.33,3,大厂县城商圈,南
LF1664591387837857792,1300,103.0,3,大厂县城商圈,东 西
LF1667024656030236672,600,103.0,3,大厂县城商圈,南 北
LF1672903773711761408,1000,69.0,2,大厂县城商圈,南
LF1679457978542981120,800,102.0,2,大厂县城商圈,南
LF1681168618374561792,1000,84.0,3,大厂县城商圈,南 北
LF1662673612684918784,1000,85.0,2,大厂县城商圈,南
LF1682243731584974848,800,94.0,3,大厂县城商圈,南 北
LF1641271765093056512,1500,118.0,3,大厂县城商圈,南
LF1687659844565204992,500,75.0,2,大厂县城商圈,南 北
LF1681864512501710848,800,180.0,3,大厂县城商圈,南 北
LF1651098956949618688,500,89.32,3,大厂县城商圈,南 北
LF1623262917119967232,1000,100.0,3,大厂县城商圈,南 北
LF1691642219359895552,1000,106.0,2,大厂县城商圈,南 北
LF1636273315330916352,1000,89.0,2,大厂县城商圈,南
LF2837496020316209152,900,85.07,2,大厂县城商圈,南
LF1690213589199093760,700,90.0,3,大厂县城商圈,南 北
LF1579740232171913216,1050,87.61,2,大厂县城商圈,南 北
LF1661568075658428416,600,49.9,1,大厂县城商圈,南 西
LF1651803343481208832,1050,89.98,2,大厂县城商圈,南 北
LF1671349695584141312,400,97.0,2,大厂县城商圈,南 北
LF1688444136690024448,1000,100.0,2,大厂县城商圈,南 北
LF2809300305773608960,800,86.0,2,大厂县城商圈,南 北
LF1716658029211942912,900,81.0,2,大厂县城商圈,南
LF1612753607080280064,1000,89.0,3,大厂县城商圈,南 北
LF2800005803011489792,800,124.28,3,大厂县城商圈,南 北
LF2826136539019345920,1600,126.0,3,大厂县城商圈,南 北
LF2888399871658958848,1500,46.0,1,大厂县城商圈,南
LF1684387833722175488,1200,86.0,2,大厂县城商圈,南 北
LF1709923929570672640,1800,80.0,1,大厂县城商圈,东
LF1666054983205781504,850,58.0,1,大厂县城商圈,南
LF1678689317079220224,1800,129.86,3,大厂县城商圈,南 北
LF1645021686384295936,1300,95.0,2,大厂县城商圈,南
LF2765780369873059840,1750,126.0,3,大厂县城商圈,南 北
LF1574253782181609472,600,48.0,1,大厂县城商圈,南
LF2869406188083085312,800,84.0,3,大厂县城商圈,南 北
LF1573245199105130496,900,85.0,2,大厂县城商圈,南 北
LF1682653281031028736,1000,84.38,3,大厂县城商圈,南 北
LF1688752682463920128,600,75.0,2,大厂县城商圈,南
LF1694566954926342144,1500,93.0,2,大厂县城商圈,南
LF1694661726080860160,1600,89.5,3,大厂县城商圈,南 北
LF1700134167250993152,1400,78.46,2,大厂县城商圈,南 北
LF1679774744561319936,1200,97.0,2,大厂县城商圈,南
LF2876192732882141184,1950,127.0,3,大厂县城商圈,南 北
LF1636283321564528640,1000,86.42,2,大厂县城商圈,南
LF2837729901384040448,1800,127.0,3,大厂县城商圈,南 北
LF1691642219359895552,1000,106.0,2,大厂县城商圈,南 北
LF1719215084099600384,1200,60.19,1,燕顺路东商圈,东南
LF1718585850360496128,1400,88.46,2,燕顺路东商圈,东南
LF1707254945935261696,1400,85.0,2,燕顺路东商圈,南
LF1719223676974399488,1500,80.0,2,燕顺路东商圈,南 北
LF1607604140253380608,1450,98.54,2,燕顺路东商圈,西北
LF1719187110872743936,1300,77.59,2,燕顺路东商圈,南
LF1710980071080067072,1500,87.0,2,燕顺路东商圈,西北
